地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京,15.2,15.05,15.12,15.35,15.69,15.98,15.86,15.69,15.51,15.98
天津,14.21,13.87,13.9,13.86,13.92,13.86,13.72,13.12,12.86,11.88
河北,38.65,36.51,35.79,32.91,31.82,32.59,32.14,34.9,33.91,32.92
山西,20.15,20.33,20.37,21.35,20.55,20.69,19.72,17.84,18.07,16.54
内蒙古,12.22,12.21,12.19,11.9,11.56,11.24,10.56,11.41,11.25,10.91
辽宁,25.6,24.98,25.57,26.33,27.38,27.13,26.44,25.98,24.75,23.79
吉林,17.55,17.12,17.32,17,16.89,16.62,16.26,16.01,15.11,15.59
黑龙江,19.79,19.52,19.78,19.85,19.71,19.73,19.7,19.52,19.27,20.34
上海,13.58,13.56,13.75,13.68,13.8,13.72,13.68,13.78,14.46,14.35
江苏,47.87,45.66,45.27,44.86,44.49,43.95,43.5,43.61,44.86,42.98
浙江,26.8,25.56,25.79,26.44,26.79,26.89,26.91,26.75,25.36,25.25
安徽,30.7,30.72,30.74,32.65,31.03,29.66,28.62,30.8,28.76,26.79
福建,22.17,20,19.77,20.67,20.84,21.36,20.12,20.14,19.87,18.73
江西,29.63,28.85,29.6,28.68,28.32,24.74,23.77,24.6,24.85,23.89
山东,55.37,54.85,55.52,54.08,53.36,49.16,46.67,48.08,47.52,46.91
河南,62.22,56.94,55.01,51.47,47.42,46.67,45.53,44.89,45.71,42.99
湖北,40.68,39.41,39.07,38.54,39.31,39.89,40.21,40.95,38.76,37.33
湖南,38.16,35.79,34.94,33.63,32.66,31.37,31.1,30.61,30.27,31.44
广东,57.33,55.84,53.98,55.06,53.54,51.69,50.19,46.87,43.73,43.59
广西,28.29,26.69,24.84,23.42,22,19.85,19.21,18.46,18.26,16.89
海南,5.45,5.22,5.32,5.24,5.45,4.93,4.96,4.64,4.76,4.64
重庆,21.37,20.95,20.49,20.55,19.72,18.49,19.29,17.76,16.41,14.93
四川,45.35,43.3,41.47,41.33,38.62,35.78,36.45,34.36,33.21,29.97
贵州,21.72,19.97,18.7,15.42,13.94,11.97,12.51,10.68,9.93,9.54
云南,21.01,20.21,17.99,17.66,16.82,16.29,14.28,15.93,14.1,12.73
西藏,0.95,0.97,1.01,0.99,0.88,0.93,1,0.94,0.92,0.9
陕西,28.3,28.47,28.36,28.75,28.83,29.79,31.28,29.21,26.71,26.47
甘肃,13.69,13.15,12.58,12.43,12.93,12.23,13.02,12.35,11.41,10.95
青海,2.05,1.96,1.91,1.8,1.55,1.48,1.46,1.4,1.3,1.26
宁夏,3.5,3.47,3.24,3.22,3.28,3.07,3.08,2.82,2.5,2.24
新疆,11.43,10.37,9.22,8.72,8.28,8.1,7.58,7.4,7.36,6.76
